time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,label
0,32.50,0.50,0.00,0.00,19.00,1.00,bending2
250,32.50,0.50,0.00,0.00,18.50,0.50,bending2
500,32.75,0.43,1.00,0.00,18.00,0.00,bending2
750,32.50,0.50,0.00,0.00,17.50,0.50,bending2
1000,32.50,0.50,7.50,0.50,17.50,0.87,bending2
1250,32.67,0.47,11.00,1.00,16.75,0.83,bending2
1500,32.50,0.50,6.25,0.83,18.00,0.00,bending2
1750,32.50,0.50,3.50,0.87,18.00,0.00,bending2
2000,32.33,0.47,6.00,0.00,18.33,0.47,bending2
2250,32.67,0.47,8.00,0.82,18.00,0.00,bending2
2500,32.50,0.50,8.33,3.30,16.67,0.47,bending2
2750,32.50,0.50,10.33,1.25,16.00,1.22,bending2
3000,32.25,0.83,9.00,3.08,16.00,0.71,bending2
3250,32.00,0.00,2.67,0.47,15.75,0.83,bending2
3500,31.75,0.43,2.75,1.09,16.50,1.12,bending2
3750,32.00,0.00,1.00,0.00,17.50,0.87,bending2
4000,32.25,0.83,0.00,0.00,17.50,0.50,bending2
4250,32.25,0.43,0.00,0.00,17.00,1.00,bending2
4500,31.75,0.43,5.33,3.30,17.75,0.43,bending2
4750,31.50,0.50,9.50,0.50,17.75,0.43,bending2
5000,31.50,0.50,5.00,2.16,17.33,0.47,bending2
5250,31.50,0.50,4.50,0.50,17.50,0.50,bending2
5500,31.67,0.47,4.50,1.12,18.00,0.00,bending2
5750,31.50,0.50,1.67,0.47,18.00,0.00,bending2
6000,31.67,0.47,1.00,0.00,18.33,0.47,bending2
6250,31.33,0.47,2.50,0.50,18.00,0.00,bending2
6500,31.50,0.50,2.67,0.47,18.00,0.00,bending2
6750,31.25,0.83,3.00,0.00,18.25,0.43,bending2
7000,31.25,0.43,2.50,0.50,18.50,0.50,bending2
7250,31.50,0.50,4.00,0.00,18.50,0.50,bending2
7500,31.50,0.50,5.00,1.22,18.50,0.50,bending2
7750,31.50,0.50,5.00,0.00,18.00,0.00,bending2
8000,31.67,0.47,8.75,0.43,17.67,0.47,bending2
8250,31.25,0.83,8.50,0.50,18.25,0.43,bending2
8500,31.25,0.83,11.00,0.71,18.00,0.00,bending2
8750,31.33,0.47,4.50,2.29,18.00,0.00,bending2
9000,31.50,0.50,2.00,0.00,18.00,0.00,bending2
9250,31.50,0.50,5.33,1.70,17.50,0.50,bending2
9500,30.75,0.43,11.00,1.22,18.00,0.00,bending2
9750,30.75,0.43,11.00,1.22,18.25,0.43,bending2
10000,30.67,0.47,5.33,1.25,18.50,0.50,bending2
10250,31.50,0.50,6.00,0.00,18.67,0.47,bending2
10500,30.75,0.43,5.67,0.47,18.50,0.50,bending2
10750,30.50,0.50,3.00,0.00,19.00,0.82,bending2
11000,30.67,0.47,6.50,1.50,18.00,0.00,bending2
11250,30.75,0.83,9.25,1.09,18.00,0.00,bending2
11500,30.67,0.47,11.00,0.82,18.00,0.00,bending2
11750,30.75,0.43,11.00,0.00,18.50,0.50,bending2
12000,30.50,0.50,11.25,0.43,18.50,0.50,bending2
12250,30.67,0.47,11.25,0.43,19.00,0.82,bending2
12500,30.50,0.50,11.00,0.71,19.75,0.83,bending2
12750,30.50,0.50,11.33,0.47,19.67,0.94,bending2
13000,31.50,0.50,9.00,1.00,19.25,1.30,bending2
13250,33.00,0.00,3.67,1.70,17.00,3.74,bending2
13500,32.67,0.47,7.33,3.09,11.00,2.92,bending2
13750,32.25,0.43,6.25,3.34,14.00,6.40,bending2
14000,33.00,0.00,8.00,3.16,23.00,0.71,bending2
14250,32.50,0.87,9.25,2.68,23.00,1.22,bending2
14500,31.50,0.50,10.75,0.83,23.25,0.83,bending2
14750,32.50,0.50,10.00,0.71,22.00,0.71,bending2
15000,32.25,0.83,11.50,0.50,21.50,0.50,bending2
15250,31.75,0.43,11.50,0.87,22.00,1.00,bending2
15500,32.25,0.43,9.75,0.43,22.25,0.83,bending2
15750,32.50,0.50,11.67,0.47,22.33,0.47,bending2
16000,32.25,0.83,11.75,0.43,22.25,0.83,bending2
16250,32.50,0.50,11.00,0.82,22.33,0.94,bending2
16500,32.25,0.83,11.75,0.43,22.00,0.71,bending2
16750,31.75,0.43,10.25,0.43,22.50,0.50,bending2
17000,31.33,0.47,10.00,0.00,22.00,0.82,bending2
17250,31.50,0.50,10.25,0.83,22.00,0.71,bending2
17500,31.33,0.47,11.33,0.94,21.75,0.83,bending2
17750,31.33,0.47,12.33,0.47,21.00,0.00,bending2
18000,31.50,0.50,13.50,0.50,19.00,0.71,bending2
18250,31.50,0.50,13.50,0.50,19.00,1.22,bending2
18500,31.33,0.47,12.33,0.47,21.75,0.83,bending2
18750,31.67,0.47,14.33,0.47,22.50,0.50,bending2
19000,31.20,0.75,13.40,0.49,22.00,0.82,bending2
19250,31.25,0.83,14.33,0.47,21.67,0.94,bending2
19500,31.67,0.47,14.50,0.50,23.00,0.82,bending2
19750,30.67,0.94,13.67,0.47,22.00,0.71,bending2
20000,31.00,0.71,13.75,0.43,21.50,0.50,bending2
20250,31.25,0.43,13.75,0.43,21.75,0.83,bending2
20500,31.50,0.50,13.50,0.50,22.00,0.71,bending2
20750,31.25,0.83,12.75,0.83,22.50,1.12,bending2
21000,31.00,0.71,13.50,0.50,21.50,2.18,bending2
21250,31.00,0.71,12.25,0.43,15.00,0.00,bending2
21500,31.75,0.43,9.00,1.63,16.33,0.94,bending2
21750,32.33,0.47,8.25,4.44,20.33,1.70,bending2
22000,31.67,0.47,12.67,0.94,16.00,1.22,bending2
22250,32.67,0.47,12.50,0.87,17.00,0.82,bending2
22500,31.25,0.83,13.75,1.09,17.00,2.00,bending2
22750,31.00,0.82,10.00,1.00,20.00,1.41,bending2
23000,30.50,0.50,9.00,0.00,20.00,0.82,bending2
23250,31.00,1.00,9.67,0.47,20.67,0.47,bending2
23500,32.00,0.00,11.67,0.47,19.50,0.50,bending2
23750,31.25,0.83,9.75,0.43,18.75,0.83,bending2
24000,31.00,1.00,10.00,0.00,17.67,0.47,bending2
24250,31.25,0.83,11.25,0.43,17.75,0.43,bending2
24500,30.00,0.00,10.50,0.50,17.67,0.47,bending2
24750,31.33,0.94,10.50,0.50,17.67,0.47,bending2
25000,31.50,0.50,10.50,0.50,18.00,0.00,bending2
25250,31.50,0.50,10.00,0.71,18.00,0.00,bending2
25500,30.50,0.50,8.50,1.12,17.50,0.50,bending2
25750,30.50,0.50,5.75,0.43,18.25,1.48,bending2
26000,31.00,0.00,8.00,0.71,17.33,0.94,bending2
26250,31.00,0.71,7.00,0.82,17.67,0.47,bending2
26500,31.50,0.50,6.33,0.47,18.33,0.47,bending2
26750,32.00,0.00,7.00,0.82,18.00,0.00,bending2
27000,31.50,0.50,8.67,0.47,18.00,0.00,bending2
27250,31.00,1.00,6.50,0.50,19.33,1.25,bending2
27500,31.00,0.82,6.00,1.41,18.75,0.83,bending2
27750,30.75,0.43,4.33,2.36,18.50,0.87,bending2
28000,30.67,0.47,2.50,0.50,17.75,0.83,bending2
28250,31.00,0.00,5.33,2.05,17.25,0.83,bending2
28500,30.67,0.94,7.00,0.82,17.75,1.79,bending2
28750,30.33,0.47,11.33,0.94,19.50,1.12,bending2
29000,30.33,0.47,12.75,0.83,18.33,1.70,bending2
29250,30.00,0.00,14.00,0.82,18.25,0.43,bending2
29500,30.00,0.00,12.00,0.00,17.33,0.47,bending2
29750,30.00,0.00,12.00,0.00,15.00,0.82,bending2
30000,30.00,0.00,11.50,0.50,15.67,0.94,bending2
30250,30.00,0.00,12.00,0.00,17.25,0.83,bending2
30500,30.00,0.00,10.75,0.83,18.75,0.83,bending2
30750,30.00,0.00,11.33,0.47,20.00,1.00,bending2
31000,30.00,0.00,9.25,1.48,19.75,0.83,bending2
31250,30.00,0.00,6.00,0.71,19.00,0.71,bending2
31500,30.00,0.00,5.50,0.50,19.75,1.30,bending2
31750,30.00,0.00,5.50,0.50,19.75,1.30,bending2
32000,30.00,0.00,10.82,1.11,19.64,0.98,bending2
32250,30.00,0.00,10.82,1.11,19.64,0.98,bending2
32500,30.00,0.00,9.67,0.47,19.33,0.94,bending2
32750,30.00,0.00,9.33,0.47,19.25,0.83,bending2
33000,30.00,0.00,9.33,0.47,18.67,0.94,bending2
